λ (nm),TM,Tm,n1,d1 (nm),m,d2 (nm),n2,κ,α (cm^-1),discarded
322.0,0.550453543965484,0.5502939503537937,1.889773814117995,539.789631115939,6.0,511.17228569010337,0.994146664833112,0.02033918151727652,7937.56810369009,yes
324.0,0.5513089099567597,0.5504230762770679,1.8945423068267648,473.66425257561644,5.5,470.2982861820421,0.9169613647684294,0.020791503365918975,8064.00422610599,yes
382.0,0.5758604545974376,0.5713316915966463,1.8880640302569693,1028.8131359677484,10.0,1011.6182340172251,1.9656523083139172,0.010648158566196844,3502.845730452694,no
392.0,0.5788993311973195,0.5749450811361803,1.8783670847501512,913.629059015714,8.5,886.940584471326,1.7145427987701498,0.013623944491869157,4367.437135568497,no
424.0,0.5886237363169415,0.5811701049193981,1.8895895343056273,976.0656567587906,9.0,1009.7431031237893,1.9635940336455255,0.011298139776548935,3348.504992569506,no
444.0,0.5931103072189388,0.5850670710275914,1.8845512113114673,977.2745252496271,8.5,1001.2994015094068,1.9419821496274146,0.011855644184839101,3355.4598806004565,no
480.0,0.6011735849938568,0.5901953783615786,1.8932728650232544,980.6412404541245,8.0,1014.1168953881444,1.9759436816558749,0.012072573271923546,3160.592291749958,no
509.0,0.6072568632171631,0.5943213735458917,1.9000245919355125,1001.5715000668092,7.5,1004.5922605957427,1.9643658866461724,0.012697509047052396,3134.8055906569543,no
558.0,0.6175355057324048,0.6004627066460786,1.916421989117403,932.1538232512044,6.0,873.5028138405733,1.722775897443716,0.017351542441549288,3907.6328503815585,no
595.0,0.6244797406028884,0.6050956421427108,1.9240171456729338,769.1321530654989,4.5,695.8098076260989,1.3777576061545846,0.024698567766481452,5216.325314243214,yes
666.0,0.6378161267711344,0.6154298521799967,1.9301051974812156,1009.8266484662187,6.0,1035.176736795169,2.056216393723145,0.013257587476296915,2501.4978630545606,yes
724.0,0.6378161267711344,0.6238665953222359,1.8704966582907452,919.1756929596337,4.5,870.8916922035968,1.6764647174049063,0.020871767645180145,3622.6846354437066,yes
